,Nb_Tweets,Nb_Positive_Tweets,Nb_Negative_Tweets,nb_Neutral_Tweets,text,Sentiment_Score,Party,Name,Category
2016-05-01,1,1,0,0,['will live tweeting publicpolicyuos eu debate featuring desmondswayne alanwhiteheadmp'],0.13636363636363635,Conservative,Desmond Swayne,General
2016-05-01,1,1,0,0,['will live tweeting publicpolicyuos eu debate featuring desmondswayne alanwhiteheadmp'],0.13636363636363635,Labour,Dr Alan Whitehead,General
2016-05-01,2,2,0,0,"['big bbcworldatone special hay festival marthakearney vincecable', 'tonight studio first live bbc radio live glasgow']",0.17597402597402598,Conservative,Dr Liam Fox,General
2016-05-01,3,2,1,0,"['deterred stories large negative impacts argues', 'economic consequences according plegrain prosyn https', 'interesting analysis realities impact iealondon']",0.15357142857142858,Liberal Democrats,Dr Phillip Lee,General
2016-05-01,3,3,0,0,"['good sensible arguments eu membership daviddavismp steve hilton', 'excellent talk today talking climate change uklabourin uklabour', 'huge']",0.7000000000000001,Labour,Edward Miliband,General
2016-05-01,1,0,0,1,['today debate rogerbootle emmareynoldsmp livestreaming'],0.0,Labour,Emma Reynolds,General
2016-05-01,1,1,0,0,['reminder deep structural challenges facing ageing societies whoever wins'],0.15,Conservative,George Freeman,General
2016-05-01,2,1,0,1,"['spot gloriadepiero', 'clear clean undisputable message gloriadepiero']",0.23333333333333336,Labour,Gloria De Piero,General
2016-05-01,1,1,0,0,['interesting opening session event gordonmarsden mp now'],0.5,Labour,Gordon Marsden,General
2016-05-01,6,2,0,4,"['women represented debate welcome analysis harrietharman', 'nonsense harrietharman will raise food prices eu wo put tariffs exports', 'coming unions views brexit plus interviews harrietharman tristramhuntmp', 'harrietharman warns derail fight women s rights', 'harrietharman points many woman rights come eu directives things left hands', 'harrietharman warns derail fight']",0.43333333333333335,Labour,Harriet Harman QC,General
2016-05-01,4,2,0,2,"['live tweeting hour debate carolinelucas commonsleader hilarybennmp amp nicholaswatt', 'fantastic speech hilarybennmp fantastic mp', 'morning hilarybennmp uklabourin campaign gettyimagesnews', 'coming guests include hilarybennmp john mills lord lamont']",0.31212121212121213,Labour,Hilary Benn,General
2016-05-01,1,0,0,1,['need uk choose complementary uk benefits'],0.0,Conservative,Hugo Swire,General
2016-05-01,1,0,0,1,['catherinemep mike glennon huwmerriman discuss youth voting'],0.0,Conservative,Huw Merriman,General
2016-05-01,1,1,0,0,['discussions today constant refrain great majority risk economic national security'],0.3333333333333333,Labour,Jack Dromey,General
2016-05-01,1,1,0,0,['debating live brixton market along voteleave jamescleverly'],0.13636363636363635,Conservative,James Cleverly,General
2016-05-01,12,7,0,5,"['puts knife jeremycorbyn detract impact making doubt bitterites will queue agree', 'touché lady floor says guardian come drumming remain campaign unlike jeremycorbyn says', 'taking leaf jeremycorbyn book david cameron answers viewer question', 'levels peak hysteria tories hitler isil jeremycorbyn looking sensible choice', 'anything wholesale cheap labour europe jeremycorbyn', 'stephenkb pivotal jeremycorbyn now', 'important timely message jeremycorbyn young voters registering vote', 'read latest strong articles annpettifor francesogrady jeremycorbyn', 'will vote x june better take back control', 'came eu rally bristol spoke everything tuition fees', 'important message jeremycorbyn ensure registered vote june', 'remember students living away home two votes important us students use']",0.36333333333333334,Labour,Jeremy Corbyn,General
2016-05-01,1,1,0,0,['great tv jess brilliant put across remain point well hate reesmogg'],0.30000000000000004,Labour,Jess Phillips,General
2016-05-01,2,1,0,1,"['please accept amendment queen speech protects nhs ttip y htnewsroom', 'text tonight speech uk relationship amp role available']",0.4,Conservative,Jesse Norman,General
2016-05-01,2,1,0,1,"['tune hear speak women eu', 'joannaccherry qc will today making positive case scotland eu thesnp']",0.22727272727272727,Scottish National,Joanna Cherry QC,General
2016-05-01,7,3,1,3,"['johnmcdonnellmp learn sadiq khan put country self amp party greater party', 'outside europe shouting letterbox need reform within johnmcdonnellmp great', 'oddly sing song sheet collusion conspiracy', 'tweeting johnmcdonnellmp speech tuc', 'follow coverage johnmcdonnellmp speech morning', 'shadow chancellor johnmcdonnellmp wants rescue debate negativity totally board let show unity amp', 'labour rescue eu debate tory negativity says john mcdonnell guardian johnmcdonnellmp']",0.2222222222222222,Labour,John McDonnell,General
2016-05-01,2,1,0,1,"['johnredwood economy chronically v germany benefit eu', 'oh god johnredwood raised head trenches best ad go learn welsh national anthem']",1.0,Conservative,John Redwood,General
2016-05-01,1,1,0,0,['gobbledygook will confuse elderly amp young jwhittingdale borisjohnson'],0.1,Conservative,John Whittingdale,General
2016-05-01,1,1,0,0,['plenty info opinions credible sources help decide'],0.4,Conservative,Johnny Mercer,General
2016-05-01,1,1,0,0,['interesting thoughts ellesmere port mp justinmadders amp'],0.5,Labour,Justin Madders,General
2016-05-01,1,0,0,1,['picked magazine break politics came across women talking rallies'],0.0,Labour,Karin Smyth,General
2016-05-01,1,0,0,1,['protects working mums amp supports says kategreensu cc'],0.0,Labour,Kate Green,General
2016-05-01,1,1,0,0,['katehoeymp regions benefit direct funding greater influence cite'],0.3,Labour,Kate Hoey,General
2016-05-01,2,2,0,0,"['reframing open border fears fair settled amp mobile workers rights ippr', 'businesses across country say without free movement simply go bust fruit pickers']",0.275,Labour,Keir Starmer,General
2016-05-01,2,0,0,2,"['biggest point kerrymp s vegfestuk talk animal welfare rules eu animals', 'kerrymp animal welfare rules come eu vegfestuk']",0.0,Labour,Kerry McCarthy,General
2016-05-01,1,1,0,0,['today commonsscotaffs will hear experts impact results higher education agriculture business industry'],0.25,Scottish National,Kirsty Blackman,General
2016-05-01,2,2,0,0,"['interesting talk liliangreenwood register https june', 'great parliamentary insight views liliangreenwood']",0.65,Labour,Lilian Greenwood,General
2016-05-01,1,0,0,1,['hope accepts invitation leicesterliz female voices needed debate'],0.0,Labour,Liz Kendall,General
2016-05-01,1,1,0,0,['funny usa president commenting stevehiltonx flies usa tell us vote'],0.25,Labour,Liz McInnes,General
2016-05-01,1,1,0,0,['delighted speak afternoon benefits massively must remain'],0.35,Labour Co-operative,Louise Ellman,General
2016-05-01,1,1,0,0,['absolutely amp amp day must'],0.2,Conservative,Marcus Fysh,General
2016-05-01,5,1,2,2,"['strongerinpress marycreaghmp nowt stopping democratic uk voting measures', 'uk lead inside walk away marycreaghmp via leftfootfwd', 'good islingtonsouth gm tonight inspiring uklabourin talk marycreaghmp amp labour vital local campaign', 'uncertainty dark cloud economy bleak outlook cbitweets', 'even remain wins hampered economy v gd cameron amp osborne failure']",0.016666666666666677,Labour,Mary Creagh,General
2016-05-01,1,1,0,0,['important message jeremycorbyn ensure registered vote june'],0.4,Labour,Matthew Pennycook,General
2016-05-01,2,1,0,1,"['needed permission reduce tampons allowed', 'apart hours free childcare new apprenticeships tax cuts million people work']",0.2681818181818182,Conservative,Michael Fabricant,General
2016-05-01,1,1,0,0,['mikejwood excited hear pupils crestwood park primary debating today westminster'],0.3875,Conservative,Mike Wood,General
2016-05-01,1,1,0,0,['first opportunity normal working class voters non elite take control back establishment'],0.13333333333333333,Conservative,Nadine Dorries,General
2016-05-01,1,0,0,1,['nazshahbfd debate hear experts amp decide'],0.0,Labour,Naz Shah,General
2016-05-01,1,1,0,0,['eef commonsbis paulblomfieldmp manufacturers find engaging ukvi recruiting students overseas challenging'],0.45,Labour,Paul Blomfield,General
2016-05-01,1,0,0,1,['local school carshaltonboys hosting debate scullyp answering questions students'],0.0,Conservative,Paul Scully,General
2016-05-01,1,1,0,0,['good response wmidsstrongerin uklabourin strongerin wmlabour'],0.7,Labour Co-operative,Preet Gill,General
2016-05-01,4,1,1,2,"['gobbledygook will confuse elderly amp young jwhittingdale borisjohnson', 'team amp will amp across stanway making case', 'hope accepts invitation leicesterliz female voices needed debate', 'rt desperate propaganda campaign https']",-0.15,Conservative,Priti Patel,General
2016-05-01,1,1,0,0,['excellent debate potters bar colleague robertbuckland fantastic qs audience many voices'],0.6333333333333333,Conservative,Robert Buckland,General
2016-05-01,1,1,0,0,['tks positive amp reasonable debate great questions floor pls make sure students register amp vote'],0.4318181818181818,Conservative,Robin Walker,General
2016-05-01,1,1,0,0,['watch question uk govt earlier houseofcommons time positive debate'],0.11363636363636363,Scottish National,Ronnie Cowan,General
2016-05-01,3,2,0,1,"['met scotsvoteleave voters outside scotparl want take powers back brussels edinburgh', 'decided vote yet read powerful convincing case danhannanmep', 'let campaigning joined stall aberdeen warm response local folk']",0.2333333333333333,Scottish National,Ross Thomson,General
2016-05-01,4,3,1,0,"['powerful arguments sajidjavid entrepreneurs stability market access good companies consumers', 'sajidjavid says undue burdens sme eu past says gov working make eu regulate less amp better', 'sajidjavid says vote leave eu small biz will hard say hardly sme benefit eu wrong', 'take lack response admittance thanks clarifying']",-0.004999999999999993,Conservative,Sajid Javid,General
2016-05-01,1,1,0,0,['good village turnout debate harkstead sparkling performances robjlinds sandyofipswich'],0.7,Labour,Sandy Martin,General
2016-05-01,2,0,0,2,"['another day another prediction wish polling station opened next thursday', 'explain group taking money context']",0.0,Conservative,Sarah Wollaston,General
2016-05-01,1,0,1,0,['trade growth productivity benefit membership single market shabanamahmood'],-0.07142857142857142,Labour,Shabana Mahmood,General
2016-05-01,1,0,1,0,['sdoughtymp miss tweets week re need reapply vote confusing messages govt'],-0.3,Labour Co-operative,Stephen Doughty,General
2016-05-01,2,0,1,1,"['listening rational arguments stephengethins rather crazy scaremongering terrorism tory', 'snp concerned lack leadership uklabour remain campaigns north england says stephengethins pagodapn']",-0.6,Scottish National,Stephen Gethins,General
2016-05-01,1,1,0,0,['excellent article stephenctimms outling case remaining eu'],1.0,Labour,Stephen Timms,General
2016-05-01,1,1,0,0,['excellent contribution debate tireless campaigner'],1.0,Labour Co-operative,Stephen Twigg,General
2016-05-01,1,0,0,1,['program presented tonight argued uk'],0.0,Labour,Tanmanjit Singh Dhesi,General
2016-05-01,5,4,0,1,"['good quote timfarron end article every household told sign now vote historic eu poll', 'important point timfarron future children grandchildren building world', 'nice positive message remaining timfarron', 'watch full debate lord howard timfarron tuesday', 'timfarron nailed tonight speech alliance politics lead front']",0.32532467532467535,Liberal Democrats,Tim Farron,General
2016-05-01,1,0,1,0,['pro eu propaganda govt causing confusion whether people need vote says votepursglove'],-0.1,Conservative,Tom Pursglove,General
2016-05-01,1,0,0,1,['will vote x june take back control'],0.0,Labour,Tom Watson,General
2016-05-01,1,1,0,0,['great support vickyford local campaign saffronwaiden'],0.4,Conservative,Vicky Ford,General
2016-05-01,7,4,0,3,"['benefiting tremendously eu rules preventing support steel', 'big bbcworldatone special hay festival marthakearney vincecable', 'smell vincecable bull facts based guess work', 'vincecable growing economy near full employment will labour come domestic labour pool small', 'now hearing vincecable commends reasoned debate smfthinktank', 'now hearing starts complimenting vincecable right student visas coalition', 'smell vincecable bull facts based guess work']",0.1470238095238095,Liberal Democrats,Vincent Cable,General
2016-05-01,2,0,0,2,"['join adamboultonsky skynewstonight dissecting stats trust liamfoxmp amp wesstreeting', 'strongerinpress independent eu source income know money works']",0.0,Labour,Wes Streeting,General
2016-05-01,1,0,0,1,['next hear yvettecoopermp telling us stay eu working together makes us stronger'],0.0,Labour,Yvette Cooper,General
2016-05-01,2,1,0,1,"['parting shot londonlibdems standardnews attacking zacgoldsmith', 'back quiet polling station karonniex first time louispwilliams safe say vote zacgoldsmith']",0.1875,Liberal Democrats,Zac Goldsmith,General
2016-06-01,1,1,0,0,['scotland independent back eu become financial centre europe gift thanks'],0.05,Conservative,Adam Afriyie,General
2016-06-01,1,0,0,1,['spoke well heart'],0.0,Scottish National,Alan Brown,General
2016-06-01,1,0,0,1,['discussing impact outcome varneyco america foxbusiness channel'],0.0,Conservative,Alan Mak,General
2016-06-01,1,0,0,1,['one tweet mp alexchalkchelt today result massive implications silence member parliament'],0.0,Conservative,Alex Chalk,General
2016-06-01,2,1,0,1,"['hear jfostermep louiseboursukip bbcmerseyside lunch time willbatchelor presenting', 'dreams grandfather internationalist brilliant piece']",0.9,Labour,Alison McGovern,General
2016-06-01,2,0,1,1,"['speeches thesnp benches stephengethins tommysheppard passionate positives eu', 'launched report outlining benefits glasgow eu membership']",-0.05,Scottish National,Alison Thewliss,General
2016-06-01,1,1,0,0,['yes sure one said something one never openly supported'],0.25,Conservative,Andrea Jenkyns,General
2016-06-01,25,13,4,8,"['worryingly unapologetic andrealeadsom bbcwomanshour yesterday', 'withdraw mechanisms eu mps work prosperity uk', 'dimbleby call andrealeadsom chancellor now thought great financial advice andrea always', 'great hear positive sensible commentary andrealeadsom', 'smug ignorance andrealeadsom amp borisjohnson mark careful folks', 'great andrealeadsom facts side side fear', 'snake oil andrealeadsom wrong populist politics trite responses serious issue', 'class act vote leave team giselastuart andrealeadsom borisjohnson', 'playing bingo unelected quango andrealeadsom oh ruthdavidsonmsp good', 'many lies andrealeadsom turkey accession eu destroying jobs will stop', 'eu yesterday s game uk s future global open letter andrealeadsom', 'andrealeadsom school kid brains shout heard gets respect class', 'even u gave cash give andrealeadsom pw weasel words', 'comparing mature economies say china india growing rapidly poor base andrealeadsom', 'watch debate featuring ids andrealeadsom new facebook page https', 'andrealeadsom takes hammering mrjamesob amp trade amp wto lbc', 'listen live debate rsa amp andrealeadsom bst', 'offer continue buying net customer andrealeadsom', 'wise words andrealeadsom skymurnaghan regarding speculation amp mortgage rates', 'andrealeadsom join live pienaar politics morning', 'fantastic performance andrealeadsom giselastuart borisjohnson', 'early bets hopes jamescleverly andrealeadsom', 'brilliant quote tonight andrealeadsom eu organise takeaway curry', 'hearing ids andrealeadsom charles clarke csjthinktank debate', 'cool calm collected responses andrealeadsom bbc debate unlike shouty scottish lady']",0.15546536796536795,Conservative,Andrea Leadsom,General
2016-06-01,3,2,0,1,"['tune live debate romfordrecorder hosting andrewrosindell v cllralexdonald', 'forget debate live time night andrewrosindell cllralexdonald say', 'prepping debate tonight st edwards church romford andrewrosindell keithdarvill stedsromford']",0.13636363636363635,Conservative,Andrew Rosindell,General
2016-06-01,2,1,0,1,"['enjoyed debating kwasikwartengmp today watch', 'hammersmithandy hear mep besides farage debate please']",0.5,Labour,Andy Slaughter,General
2016-06-01,1,1,0,0,['thanks positive case absent debate sincerely hope changes https'],0.3090909090909091,Scottish National,Angela Crawley,General
2016-06-01,10,5,2,3,"['realised angelaeagle woman itv debate god help party wins jeremycorbyn', 'judging lacklustre performance debate angelaeagle will fail reconnect working class lab voters', 'crocodile tears angelaeagle fine true tory heart see', 'labourparty pull angelaeagle tonight great reasons engage vote', 'spot angelaeagle people persuaded scapegoat eu donestic austerity politics', 'angelaeagle hear uklabourin', 'bbcnews good job televised debate angela sound bites honest heart straight talking', 'good job team debate nicolasturgeon amp angelaeagle well', 'even nasty personal attacks angelaeagle mp tried use pm mother attack', 'jeremycorbyn angelaeagle saying uklabour ca attain worker rights without imposed']",0.24722222222222223,Labour,Angela Eagle,General
2016-06-01,4,1,0,3,"['parody account year last may predicted tory folly', 'ohh tweet september premise scot now falsehood', 'hebrides result coming soon stornoway', 'bbc dimbleby never changes scotland still recovery referendum dont u love neutrality']",0.25,Scottish National,Angus MacNeil,General
2016-06-01,1,1,0,0,['voted leave voting stay europe good annclwyd'],0.7,Labour,Ann Clwyd,General
2016-06-01,4,2,0,2,"['says working putting stability back input amp sajidjavid', 'excellent response sad views given media prominence', 'considered contribution debate leading member', 'strong ending pm setting clear choice nigel farage little england campaign broad coalition parties']",0.12976190476190477,Conservative,Anna Soubry,General
2016-06-01,4,2,1,1,"['agfchairman antipodes seems weird using take jeremycorbyn missing', 'u signed ignoring calls elected mp annaturley', 'excellent contribution annaturley bbcnewsnight discussing coopparty', 'enjoyed bbcnewsnight loved dress kirstywark thought annaturley came really well']",0.2833333333333333,Labour Co-operative,Anna Turley,General
2016-06-01,3,1,0,2,"['air now highlights debate featuring anneliesedodds geraldhowarth tombewick catherinemep hosted dannypike', 'great speech anneliesedodds making point best way tackle tax avoidance', 'air now highlights debate featuring anneliesedodds geraldhowarth tombewick catherinemep hosted dannypike']",0.9,Labour,Anneliese Dodds,General
2016-06-01,1,0,0,1,['itvnews speaker campaign post programme analysis'],0.0,Labour,Barbara Keeley,General
2016-06-01,1,0,0,1,['gove knows poster mistake ca distance'],0.0,Labour Co-operative,Barry Sheerman,General
2016-06-01,4,2,0,2,"['benpbradshaw lborocrcc research shows fairly absent media debate last week', 'campaigning every day week till dusk please come exeterlabour hq time help', 'opening speeches last night debate highbridge amp https', 'excited tuesday expressandecho debate billybragg mollyscottcato benpbradshaw tim jdwtweet among panelists']",0.26875,Labour,Ben Bradshaw,General
2016-06-01,3,0,0,3,"['bernardjenkin point exemption joining public debate shows longer public broadcaster', 'pics southend campaigning today jamesduddridge bernardjenkin', 'introductions panel includes bernardjenkin']",0.0,Conservative,Bernard Jenkin,General
2016-06-01,2,0,1,1,"['yes answer funding stops within leave', 'crosbyvillage least giving us info intentions heard nil re']",-0.3,Labour,Bill Esterson,General
2016-06-01,80,19,18,43,"['big claims borisjohnson s column https bftwuk amp', 'little reassurance gang nice borisjohnson', 'single tweet borisjohnson results came undecided say', 'borisjohnson electorate decided time vote take back control eu become remote', 'borisjohnson michael discussing departure government says bbcnews', 'one last push borisjohnson', 'final word borisjohnson lot now', 'final pleas amp borisjohnson', 's immigration s democracy borisjohnson talks thejameswhale maldon', 'coming amp borisjohnson last chance hear bbcbreakfast polling opens', 'best part tonight closing speech borisjohnson passionate', 'borisjohnson follow us snapchat', 'remain leave tory leadership contest looms borisjohnson much fear theresa may', 'borisjohnson north east cumbria economy nothing fear brexit', 'june take country back borisjohnson demagogue politics hate despair', 'linguistic view analysing speeches borisjohnson', 'tonight will debating leicesterliz borisjohnson live youtube https', 'new favourite phrase day far borisjohnson doom', 'morning joined borisjohnson amp sir john major strongerin', 'secret film inside borisjohnson hq reveals tensions result via huffpostuk https', 'scientific survey least vanished twitter unlike borisjohnson', 'single tweet borisjohnson referendum think jubilantly holding forth bright future', 'borisjohnson mennewsdesk money longer pay eu go building motorway manchester sheffield', 'speech borisjohnson mean uk will less united less european read ballot paper', 'borisjohnson fucked fix help us shitting yet course', 'scene london borisjohnson officially starts celebrations', 'omg ca resign save us borisjohnson bbcnews itvnews guardian', 'today britain independence day congrats amp borisjohnson yank give us hope', 'voting done education health housing industry voted ni dupleader borisjohnson', 'yes borisjohnson let take back control let take back control', 'hey borisjohnson charlatan take note hero churchill brits dont quit', 'rich man colonising country make independence day reference eh borisjohnson', 'coming borisjohnson takes calls', 'rhetoric strategy borisjohnson politics grotesque import berlusconi italy', 'borisjohnson chance take back control undemocratic unreformed eu https', 'take account rebate money eu keep repeating borisjohnson amp michaelgovenews', 'tonight youtube hq borisjohnson alexsalmon watch live', 'john english rebutts borisjohnson claim example britain', 'borisjohnson dont know friend foe negotiate strength', 'borisjohnson pledge funding will continue savings', 'borisjohnson learns fashion simonjersey factory', 'borisjohnson sort scotland alien fish suez canal problem shooting machine guns', 'borisjohnson helps stir caldron turmoil runs away subsequent mess', 'dear brits slowly realising vote leave useful borisjohnson become', 'excellent newsletter china britain business council danieljhannan borisjohnson', 'much racism evolving come borisjohnson help us prevent uk becoming racist', 'tweets borisjohnson battery gone flat boris', 'please return borisjohnson wherever came', 'hey borisjohnson whats plan now forgot never one apart become next prime minister', 'sign borisjohnson distancing farage personal power ambitions well way', 'one last push borisjohnson', 'wonder borisjohnson playing game impractical jokers whole time', 'borisjohnson win millennials steal will smith film', 'think know borisjohnson nicked closing statement', 'brilliant summary borisjohnson leave camp totally won debate makes proud british', 'case borisjohnson stop talking heard enough project fear', 'banning michaellcrick borisjohnson borrowing realdonaldtrump playbook', 'borisjohnson heard much past feel campaign partly responsible hate vitriol', 'borisjohnson shift old eu economies new developing ones uk forge path global facing eec', 'today paper hear campaigners borisjohnson denysshortt michael', 'going truth borisjohnson newspapers eu country', 'borisjohnson learns fashion simonjersey factory', 'excellent newsletter china britain business council danieljhannan borisjohnson', 'jeremycorbyn lose lies misinformation media borisjohnson https', 'borisjohnson message people already let https', 'borisjohnson voted boris used pen got city hall mayor london', 'evidence borisjohnson plan hearing lead leavers https', 'solution wrong century complex borisjohnson done https', 'eu remembered wise words borisjohnson feb spoke truth', 'one last push borisjohnson', 'wonder borisjohnson playing game impractical jokers whole time', 'let borisjohnson scaremonger us walking away prosperity', 'eu remembered wise words borisjohnson feb spoke truth', 'conservatives mp quoted thetimes special place hell reserved borisjohnson', 'borisjohnson may bargained asked next life', 'former london mayor borisjohnson kevin home alone look parents never came back', 'solution wrong century complex borisjohnson done https', 'borisjohnson classicist populi suprema lex esto deceived voters beginning', 'borisjohnson mayor london ni scotland rest leave mayor home countries', 'heard much borisjohnson morning sad see leaving']",0.04194818894185983,Conservative,Boris Johnson,General
2016-06-01,1,0,0,1,['actual view ground julieelliottmp bphillipsonmp ianmearnsmp daveandersonmp tomblenkinsop'],0.0,Labour,Bridget Phillipson,General
2016-06-01,1,1,0,0,['gradysnp taking time partickha community festival give quick interview scotland'],0.3333333333333333,Scottish National,Carol Monaghan,General
2016-06-01,3,3,0,0,"['never going happen day one doorstep clear going break party lines', 'think carolineflintmp striking good tone labour voices learn need people outers', 'powerful piece carolineflintmp first thing read restores hope post https']",0.37,Labour,Caroline Flint,General
