,Nb_Tweets,Nb_Positive_Tweets,Nb_Negative_Tweets,nb_Neutral_Tweets,text,Sentiment_Score,Party,Name,Category
2016-05-01,40,14,8,18,"['probably best reason apart human rights issue borisjohnson become pm', 'borisjohnson top quality boys', 'campaign moves fear hope europe needs british leadership take note borisjohnson', 'assurances borisjohnson services wld dramatic deterioration full crap', 'pushing voters away borisjohnson tactics', 'clear junkereu pm little england borisjohnson wd tough time negotiating exit terms favours danhannanmep', 'rubbish spouted put people', 'latest bizarre metaphor increasingly demented borisjohnson https', 'opposed extra large alarmism', 'campaign borisjohnson lost plot gets big fat zero', 'comparing cooperation nations suffered nazi occupation slaughter new low hollow borisjohnson', 'go insults nasty campaign', 'let straight borisjohnson says shld learn lessons history psychology national identity camp happy', 'far removed scaremongering heard borisjohnson giggle', 'strongerinpress borisjohnson alas stupidest comment seen sad', 'great speech fm borisjohnson sort arguments want hear scare stories positive future', 'maybe borisjohnson using gross figures never know https', 'bbcnews borisjohnson one lie another boris live tv man shame', 'another bonker claim borisjohnson trust claims', 'myths borisjohnson seems buy bananas bunch https', 'borisjohnson hear bj talknig fat cats hedge fund mates stand gain leave', 'according borisjohnson knickers hitler taking', 'two books learned brexit scholars worse bj want scary borisjohnson', 'idiotic offensive ridiculous nonsense borisjohnson strongerinpress', 'remainer borisjohnson ruin campaign inside', 'contemptible outburst borisjohnson shows desperate weakness case exposed', 'really death camps borisjohnson dropped zip wire plunge new low', 'borisjohnson learned zacgoldsmith bojo party eu vote', 'borisjohnson now suspended conservatives please preferably deported', 'will borisjohnson come clean many will hedge fund mates will gain brexit https', 'never seen borisjohnson online kicking many quarters battlebus bloody triumph', 'borisjohnson going distance video https', 'excellent piece laying benefits ttip deal borisjohnson', 'borisjohnson students benefit rather suffer able study work eu', 'myths borisjohnson seems buy bunches bananas', 'borisjohnson local mp literally flooded posters message doors', 'bbcnews borisjohnson one lie another boris live tv man shame', 'yep actually starting see pattern lies', 'borisjohnson please address concerns voters', 'borisjohnson learn history bound relive']",0.03682516155342242,Conservative,Boris Johnson,Stay in EU
2016-05-01,2,2,0,0,"['brilliant team brandonlewis today', 'excellent article reasons one sensible informed mps']",0.95,Conservative,Brandon Lewis,Stay in EU
2016-05-01,24,11,1,12,"['serious put carolinelucas davis', 'excellent seconds carolinelucas sum needs far positive thus far', 'bbcquestiontime great performance ed miliband tonight finally talks sense carolinelucas brilliant always', 'terrific statement carolinelucas', 'net economic benefit carolinelucas', 'bbc ensure carolinelucas kept away mics persuasive', 'threat tories eu carolinelucas nurses doctors health weareeuropeuk', 'myths borisjohnson seems buy bananas bunch https', 'big figures parties campaigning neil kinnock paddyashdown carolinelucas', 'great support carolinelucas showing outside brightfest', 'come find carolinelucas', 'inspiring speech carolinelucas', 'got mention carolinelucas event thx helping set us caroline', 'let honest pr prob carolinelucas jeremycorbyn leading huge cheer crowd', 'liked youtube video imajsaclaimant another europe possible carolinelucas', 'stirring stuff carolinelucas labourlewis siriocd yanisvaroufakis https', 'carolinelucas yanisvaroufakis help move undecided brilliant speaker earlier good', 'fabulous passionate progressive stuff carolinelucas', 'environmental problems cross boundaries wait passports checked stirring speech carolinelucas', 'govt elected vote wo take lectures democracy mps carolinelucas', 'need change carolinelucas inspires activists around britain campaign positive referendum outcome', 'conference skiddywill excited hear carolinelucas take change eu inside', 'none dear firstname nonsense carolinelucas', 'key points view bloombergbrief mliebreich carolinelucas']",0.3016504329004329,Green  of England and Wales,Caroline Lucas,Stay in EU
2016-05-01,1,0,0,1,['newcastle gurdwara chionwurah hearing sikh community importance staying eu'],0.0,Labour,Chi Onwurah,Stay in EU
2016-05-01,7,5,0,2,"['ejwwest cameron great pm far perfect ar big control small humanity truly awful', 'strongerin ldintogether amazing positive case rhonddabryant gay right blackheath', 'amazing work rhonddabryant uklabourin bus today making clear uk eu https', 'chukaumunna rhonddabryant uklabour anymore hypocrisy racist party https', 'rhonddabryant nailed positive pragmatic tripping negativity opponents', 'rhonddabryant denismacshane jackdromeymp brilliant matt sumes perfectly', 'now rhonddabryant uklabour mp roxley obviously']",0.31293290043290045,Labour,Chris Bryant,Stay in EU
2016-05-01,21,10,5,6,"['atticvs chukaumunna wants profits https', 'chukaumunna thanks excellent appearance bbcnewsnight saved shouting tv numerous occasions', 'impressive bs chukaumunna star fro side vote democracy vote', 'uniofoxford receives hundreds millions pounds eu hardly neutral', 'interesting stat chukaumunna meet last night million brits employed businesses owned eu citizens', 'great speech chukaumunna event tonight london', 'clear expert analysis uniofoxford staying eu critical economy jobs', 'away employment law says andrealeadsom chukaumunna knows much', 'great speaking crew banglatvuk today uk eu', 'debate live brixton market guys', 'debating live brixton market along voteleave jamescleverly', 'commonwealth citizens benefit jobs lower prices single market says chukaumunna', 'small businesses don t back brexit gain much eu membership chukaumunna knows', 'farcical contribution john redwood suggesting end migration crisis uk leaving eu', 'chukaumunna ukip mep nazi eu comments yet another crackpot conspiracy brexiteer brigade', 'conspiracy theories leave campaigners https', 'chukaumunna says small busineeses gain much membership eu choose leave', 'poll result biraofficial hearing vote leave today remain leave', 'read chukaumunna ethnic minority britons benefit membership', 'across globe china italy usa japan world leaders agree', 'chukaumunna rhonddabryant uklabour anymore hypocrisy racist party https']",0.1909348587920017,Labour,Chuka Umunna,Stay in EU
2016-05-01,3,2,0,1,"['intelligent persuasive case labourlewis https', 'liked youtube video imajsaclaimant another europe possible labourlewis', 'stirring stuff carolinelucas labourlewis siriocd yanisvaroufakis https']",0.4666666666666666,Labour,Clive Lewis,Stay in EU
2016-05-01,3,0,0,3,"['problem switched campaign fear belittled debate', 'helpful clarification dg wto uk automatically access eu largest market voted leave', 'highlights recent event argued hurt local employers https']",0.0,Conservative,Damian Collins,Stay in EU
2016-05-01,4,4,0,0,"['strong case danjarvismp vote remain patriotic best national security', 'great see danjarvismp tomtugendhat served fco afghan time https', 'strong case staying eu patriotic choice best outcome national security', 'great support members residents uklabourin danjarvismp']",0.7444444444444445,Labour,Dan Jarvis,Stay in EU
2016-05-01,1,1,0,0,['great poster alex politics student hinchingbrooke'],0.8,Labour,Daniel Zeichner,Stay in EU
2016-05-01,1,1,0,0,['great speech chukaumunna event tonight london'],0.8,Labour,Darren Jones,Stay in EU
2016-05-01,1,0,0,1,['bus will bolton town hall around https'],0.0,Labour,David Crausby,Stay in EU
2016-05-01,1,0,1,0,['bogus badly trade negotiations exercises mutual self interest daviddavismp'],-0.6999999999999998,Conservative,David Davis,Stay in EU
2016-05-01,3,2,1,0,"['malmstromeuwonky thinking confusing offer services somehow forced svcs', 'great hear dlidington minister europe stay eu', 'great hear dlidington minister europe stay eu']",0.25,Conservative,David Lidington,Stay in EU
2016-05-01,1,1,0,0,['interesting analysis realities impact iealondon'],0.5,Liberal Democrats,Dr Phillip Lee,Stay in EU
2016-05-01,2,1,0,1,"['important analysis hmtreasury consequences uk economy uk votes leave eu https', 'tomorrow will woodbridge thoroughfare discuss think stay reformed eu suffolkconsin']",0.4,Conservative,Dr Thérèse Coffey,Stay in EU
2016-05-01,4,2,1,1,"['andrewsparrow think powerful quote camp far', 'bull need mean negotiating worst position voting will result better deals offered', 'polls say know experience happens day', 'great morning reps parties talking eu important']",0.11250000000000002,Labour,Edward Miliband,Stay in EU
2016-05-01,1,0,1,0,['trussliz businesses wykefarms benefit eu single market million https'],-0.07142857142857142,Conservative,Elizabeth Truss,Stay in EU
2016-05-01,4,1,3,0,"['typical vote leave scaremongering gove nhs actually brexit lead recession meaning less money nhs', 'great aboard bus today way leamington spa birmingham https', 'heseltine right call obscene comments boris johnson bringing hitler argument never good idea', 'rt emmareynoldsmp typical vote leave scaremongering gove nhs actually']",0.029464285714285717,Labour,Emma Reynolds,Stay in EU
2016-05-01,4,2,0,2,"['overwhelming support uk scientists people lifescience community https', 'will affect nhs imp message alanjohnsonmp nhs needs vote strongerinhttps', 'grt hear andrewsmithmp nicolablackwood walmsley uniofoxford need collaboration', 'great leading science business leaders sector pro']",0.65,Conservative,George Freeman,Stay in EU
2016-05-01,1,0,0,1,['panel gloriadepiero alan johnson uklabourin'],0.0,Labour,Gloria De Piero,Stay in EU
2016-05-01,1,0,1,0,['ex soldier mps different sides political fence make military case'],-0.03333333333333333,Conservative,Guy Opperman,Stay in EU
2016-05-01,5,1,0,4,"['strong arguments harrietharman impact leaving eu everyday costs weekly shop', 'whatever harrietharman keep away pork', 'view inside lloydsoflondon harrietharman speaks women rights jobs eu', 'uklabour harrietharman course learned nothing dutch vote give rights https', 'harrietharman says facts show eu supported women rights risk leave campaigners']",0.11666666666666664,Labour,Harriet Harman QC,Stay in EU
2016-05-01,1,0,0,1,['malvern church street tomorrow morning strongerin'],0.0,Conservative,Harriett Baldwin,Stay in EU
2016-05-01,1,1,0,0,['great morning barnard castle positive views market traders helengoodmanmp'],0.5136363636363637,Labour,Helen Goodman,Stay in EU
2016-05-01,5,4,1,0,"['superb advocacy hilarybennmp support debate', 'great see hilarybennmp tonight powerful personal plea form must walk away', 'shadow foreign secretary hilarybennmp sake grandchildren must walk away', 'children born world become powerful stuff hilarybennmp', 'fantastic speech hilarybennmp fantastic mp']",0.38437499999999997,Labour,Hilary Benn,Stay in EU
2016-05-01,3,2,0,1,"['leaving european union put britain risk criminals makes british people safer', 'john ralph barlow house friends erdington high street says john us', 'rhonddabryant denismacshane jackdromeymp brilliant matt sumes perfectly']",0.41200000000000003,Labour,Jack Dromey,Stay in EU
2016-05-01,1,1,0,0,['debating live brixton market along voteleave jamescleverly'],0.13636363636363635,Conservative,James Cleverly,Stay in EU
2016-05-01,11,5,2,4,"['jeremycorbyn pestononsunday arguing sad one biggest lab', 'getbritainout great votes little friend jeremycorbyn', 'quotes leaflet horshamgardener andycavster jeremycorbyn', 'workers environmental protection eu needs b protected says jeremycorbyn', 'superb leadership jeremycorbyn articulating clear left arguments', 'good jeremycorbyn every day labour leader need vocal https', 'day made got wave jeremycorbyn office', 'come jeremycorbyn uklabour want hear positive case made negative campaign cam platform open', 'let honest pr prob carolinelucas jeremycorbyn leading huge cheer crowd', 'mention siriocd jeremycorbyn gets applause audience great speech', 'cheers audience siriocd mentions jeremycorbyn battle austerity democracy']",0.27998251748251746,Labour,Jeremy Corbyn,Stay in EU
2016-05-01,3,1,0,2,"['patriotic case jessphillips https', 'superb jessphillips need speak convince working people eu uklabourin', 'patriotic case jessphillips https']",1.0,Labour,Jess Phillips,Stay in EU
2016-05-01,2,1,0,1,"['walesgovernance analysis shows wales benefits per person eu uklabourin walesstrongerinhttp', 'great piece jostevenslabour eu referendum gender perspective']",0.8,Labour,Jo Stevens,Stay in EU
2016-05-01,10,7,0,3,"['happy germany greece agree johnmcdonnellmp need change within', 'party pub brawl johnmcdonnellmp holds nose stays well away issue', 'johnmcdonnellmp says income skills migrant labour benefit economy', 'johnmcdonnellmp highlights young people benefit membership eu', 'johnmcdonnellmp learn sadiq khan put country self party greater party', 'johnmcdonnellmp saying win elections protect us cuts instead', 'liked youtube video imajsaclaimant another europe possible johnmcdonnellmp', 'fabulous speech johnmcdonnellmp', 'job now retrieve debate save right johnmcdonnellmp', 'johnmcdonnellmp paraphrase need protect us democratically elected accountable government']",0.4357142857142857,Labour,John McDonnell,Stay in EU
2016-05-01,3,1,0,2,"['oh god johnredwood raised head trenches best ad go learn welsh national anthem', 'johnredwood economy chronically v germany benefit eu', 'johnredwood lampoons argument let look coming https']",1.0,Conservative,John Redwood,Stay in EU
2016-05-01,2,1,0,1,"['good see edballs taking apart preposterous scare stories coming leave campaign', 'mail sunday logic brexit beginning crumble']",0.7,Labour Co-operative,Jonathan Ashworth,Stay in EU
2016-05-01,2,1,1,0,"['good closing case kategreensu good reminder natalieben', 'kategreensu nigel farage tweet touting topical now desperate']",0.19999999999999998,Labour,Kate Green,Stay in EU
2016-05-01,1,0,0,1,['days return london bomber italy taken months eu arrangements says'],0.0,Labour,Keir Starmer,Stay in EU
2016-05-01,1,1,0,0,['happy cairo laylamoran'],0.8,Conservative,Layla Moran,Stay in EU
2016-05-01,1,1,0,0,['interesting talk liliangreenwood register https june'],0.5,Labour,Lilian Greenwood,Stay in EU
2016-05-01,1,1,0,0,['delighted speak afternoon benefits massively must remain'],0.35,Labour Co-operative,Louise Ellman,Stay in EU
2016-05-01,1,0,0,1,['visiting hyde morning around lucympowell angelaeagle'],0.0,Labour Co-operative,Lucy Powell,Stay in EU
2016-05-01,1,0,0,1,['public funding cancer research comes says lynbrownmp'],0.0,Labour,Lyn Brown,Stay in EU
2016-05-01,1,1,0,0,['absolutely day must'],0.2,Conservative,Marcus Fysh,Stay in EU
2016-05-01,2,0,0,2,"['campaigning garston market megan dingle', 'uklabourin battlebus comes neath today alan johnson mp meaglemp welshlabour']",0.0,Labour,Maria Eagle,Stay in EU
2016-05-01,3,0,1,2,"['david blunkett says calamity britain s borders move calais kent', 'uncertainty dark cloud economy bleak outlook cbitweets', 'london enniskillen aberdeen cardiff across uk join']",-0.575,Labour,Mary Creagh,Stay in EU
2016-05-01,2,0,1,1,"['economics dell boy argument', 'toryboypierce certainly unexpected dodgy anything prop lame campaign']",-0.2,Conservative,Michael Fabricant,Stay in EU
2016-05-01,2,1,0,1,"['may distracted fact far first john major contribution', 'remain needs ukraine voices learn dutch ref c rcorbettmep mikegapes https']",0.13749999999999998,Labour Co-operative,Mike Gapes,Stay in EU
2016-05-01,1,0,0,1,['heard pro nadhimzahawi digbylj please come make case https'],0.0,Conservative,Nadhim Zahawi,Stay in EU
2016-05-01,1,0,0,1,['nazshahbfd debate hear experts decide'],0.0,Labour,Naz Shah,Stay in EU
2016-05-01,1,0,1,0,['kategreensu nigel farage tweet touting topical now desperate'],-0.3,Labour,Neil Coyle,Stay in EU
2016-05-01,2,2,0,0,"['good points uk equalities minister regarding safeguarding lgbt rights', 'brilliant team brandonlewis today']",0.8,Conservative,Nicky Morgan,Stay in EU
2016-05-01,1,1,0,0,['rhonddabryant denismacshane jackdromeymp brilliant matt sumes perfectly'],0.95,Labour,Owen Smith,Stay in EU
2016-05-01,1,0,0,1,['sunday politics eu debate comes paulblomfieldmp puts case bbc one'],0.0,Labour,Paul Blomfield,Stay in EU
2016-05-01,1,1,0,0,['brilliant hear peterkyle today royalholloway case staying eu'],0.9,Labour,Peter Kyle,Stay in EU
2016-05-01,2,0,1,1,"['consforbritain standardnews apart anything uk sets noneu immigration policy yes', 'absurd comments crashing economy will help interested career thinks']",-0.125,Conservative,Priti Patel,Stay in EU
2016-05-01,1,1,0,0,['strong article rachelreevesmp overwhelming economic case remaining eu https'],0.37777777777777777,Labour,Rachel Reeves,Stay in EU
2016-05-01,2,1,0,1,"['important warnings dangers june vote eu sceptic paulmasonnewshttp', 'message bournvillesch students today meeting']",0.4,Labour,Richard Burden,Stay in EU
2016-05-01,1,0,0,1,['one week doubt thank walkerworcester economics made sense'],0.0,Conservative,Robin Walker,Stay in EU
2016-05-01,3,3,0,0,"['delighted hear strong business case remaining eu sajidjavid braintree evening', 'sajidjavid says economy hit leave eu need explain magic money comes', 'powerful arguments sajidjavid entrepreneurs stability market access good companies consumers']",0.5266666666666666,Conservative,Sajid Javid,Stay in EU
2016-05-01,1,0,0,1,['across country people walks life joining together show watch now https'],0.0,Conservative,Sam Gyimah,Stay in EU
2016-05-01,1,1,0,0,['good eu debate ipswichschool speakers sandyofipswich'],0.7,Labour,Sandy Martin,Stay in EU
2016-05-01,1,1,0,0,['vital now strength comes within'],0.1,Labour Co-operative,Seema Malhotra,Stay in EU
2016-05-01,1,1,0,0,['economic clatrap come disgraceful'],0.2,Conservative,Simon Hoare,Stay in EU
2016-05-01,3,2,1,0,"['yet serious warnings risks time former head world trade organisation', 'ivotestay welshlabour uklabourin good luck referendum solidarity ireland', 'clear message welshlabour today wales']",0.11666666666666667,Labour Co-operative,Stephen Doughty,Stay in EU
2016-05-01,2,1,0,1,"['sensible words skinnock haverfordwest today', 'listen powerful case veterans https']",0.3,Labour,Stephen Kinnock,Stay in EU
2016-05-01,2,1,0,1,"['anyone truly believe tories reinvest savings public services mp wo say stevebakerhw', 'quote figure widely discredited stevebakerhw people expect better conservative mp']",0.13333333333333333,Conservative,Steven Baker,Stay in EU
2016-05-01,1,0,0,1,['week people travelling eu will benefit whopping saving charges eu membership'],0.0,Labour,Thangam Debbonaire,Stay in EU
2016-05-01,4,2,0,2,"['libdems positive arguments timfarron culture research economics security arguments stack', 'trevdick timfarron got position without help eu', 'rain put timfarron door knocking allerton thought spot weather', 'libdems positive arguments timfarron culture research economics security arguments stack']",0.22727272727272727,Liberal Democrats,Tim Farron,Stay in EU
2016-05-01,1,1,0,0,['great see danjarvismp tomtugendhat served fco afghan time https'],0.8,Conservative,Tom Tugendhat,Stay in EU
2016-05-01,2,1,0,1,"['cut piece rock definitely pic graffiti bristol v', 'wmlabour good keep going forget support needed parties pls welcome']",0.5,Labour,Tom Watson,Stay in EU
2016-05-01,1,0,0,1,['earlier making case us eu watch'],0.0,Labour,Vernon Coaker,Stay in EU
2016-05-01,1,1,0,0,['great support vickyford local campaign saffronwaiden'],0.4,Conservative,Vicky Ford,Stay in EU
2016-05-01,1,1,0,0,['opposed extra large alarmism'],0.10714285714285714,Liberal Democrats,Vincent Cable,Stay in EU
2016-05-01,1,1,0,0,['independent one truly receiving considerable funding one side'],0.05,Labour,Wes Streeting,Stay in EU
2016-05-01,3,3,0,0,"['yvettecoopermp fabulous strongerin making committed voters wonder spoiling ballot papers', 'great video camp recorded yvettecoopermp', 'great video camp recorded yvettecoopermp']",0.6666666666666666,Labour,Yvette Cooper,Stay in EU
2016-05-01,1,0,0,1,['borisjohnson learned zacgoldsmith bojo party eu vote'],0.0,Liberal Democrats,Zac Goldsmith,Stay in EU
2016-06-01,1,1,0,0,['slogans campaign real answers'],0.2,Labour,Alex Cunningham,Stay in EU
2016-06-01,3,3,0,0,"['dreams grandfather internationalist lovely optimistic piece', 'dreams grandfather internationalist brilliant piece', 'poetic response sovereignty piece continent part main']",0.48541666666666666,Labour,Alison McGovern,Stay in EU
2016-06-01,2,0,1,1,"['speeches thesnp benches stephengethins tommysheppard passionate positives eu', 'launched report outlining benefits glasgow eu membership']",-0.05,Scottish National,Alison Thewliss,Stay in EU
2016-06-01,1,0,0,1,['received monthly newsletter mp may agree everything agree britain'],0.0,Conservative,Alok Sharma,Stay in EU
2016-06-01,24,13,4,7,"['next leader come camp means borisjohnson andrealeadsom', 'apart giselastuart andrealeadsom everyone seem lied dissembled equivocated', 'montie personal nature attack anger ruthdavidsonmsp bbcdebate displayed weakness argue', 'andrealeadsom say things apart vote leave take back control think cheap rhetoric', 'going protect green belt development brave new world', 'really b surprised nice one andrealeadsom swift repugnance', 'playing bingo unelected quango andrealeadsom oh ruthdavidsonmsp good', 'go andrealeadsom thanks bringing nonsense', 'andrealeadsom shame aggression side better', 'big blow camp landed brilliant andrealeadsom', 'pooled sovereignty eagle andrealeadsom gives another clobbering throw towel now', 'andrealeadsom talks eloquently amber woman quite aggressive many insults nicola', 'really going turn viewers away shouting hectoring style andrealeadsom cool calm collected', 'lies andrealeadsom laws come europe', 'smug ignorance andrealeadsom borisjohnson mark careful folks', 'andrealeadsom refuses criticise taking money bnp sympathiser disgraceful', 'andrealeadsom completely wrong pressure nhs ageing pop chronic illness migrants', 'gove supports cameron sacked education cabinet post borisjohnson promised andrealeadsom', 'andrealeadsom rest world saw leave campaigns debate last night', 'shame shame andrealeadsom toxic top pls https', 'terrible incoherent performance tonight real answers important issues', 'detailed plan borisjohnson giselastuart andrealeadsom trust politician thanks', 'andrealeadsom arguments clearly falling apart changes debate one union another', 'listen live debate rsa andrealeadsom bst']",0.15879765395894432,Conservative,Andrea Leadsom,Stay in EU
2016-06-01,1,0,0,1,['still response tory mp andrewrosindell campaigning weekend'],0.0,Conservative,Andrew Rosindell,Stay in EU
2016-06-01,1,1,0,0,['strong argument lbhf leader stephencowan'],0.4333333333333333,Labour,Andy Slaughter,Stay in EU
2016-06-01,18,9,5,4,"['glad true plp reportedly coalescing around angelaeagle tough credible dedicated clearly party left', 'great quote angelaeagle bbc always knew sure come', 'angelaeagle hear uklabourin', 'good direct appeal angelaeagle labour voters leadership contest', 'great closing speech angelaeagle', 'angelaeagle will never trusted useless poor selection debaters', 'articulate intelligent responses speakers angelaeagle nicolasturgeon boris', 'boxing debate stopped now great performances nicolasturgeon angelaeagle', 'aw nuts im bingo looks im missing quite debate performance angelaeagle co championing', 'angelaeagle highlights positives eu', 'go angelaeagle ca stand blatant lies scaremongering leave', 'angelaeagle demands straightforward answers', 'need governed eu sell silly argument angelaeagle https', 'angelaeagle stickers show support', 'got worried moment thought called reinforcements germany', 'good job team debate nicolasturgeon angelaeagle well', 'really powerful performances nicolasturgeon angelaeagle clear concise logical arguments strongerin', 'mention tory toff david cameron another poor argument league angelaeagle']",0.19144444444444442,Labour,Angela Eagle,Stay in EU
2016-06-01,1,1,0,0,['angusmacneilsnp stupidism new political movement demands protect brexiteers consequences voting leave'],0.06818181818181818,Scottish National,Angus MacNeil,Stay in EU
2016-06-01,1,1,0,0,['voted leave voting stay europe good annclwyd'],0.7,Labour,Ann Clwyd,Stay in EU
2016-06-01,7,3,3,1,"['great question robertjenrick small biz wants us know', 'makes sense absurdly simplistic divorce pay benefits', 'poor performance one positive point take tonight', 'fear prejudice always blvd far perfect let stuck change', 'pm back eu jobs growth put bbcquestiontime', 'great question robertjenrick small biz wants us know', 'spin uk now one least regulated pro biz countries world']",0.12517482517482517,Conservative,Anna Soubry,Stay in EU
2016-06-01,2,2,0,0,"['excellent contribution annaturley bbcnewsnight discussing coopparty', 'excellent contribution annaturley bbcnewsnight']",1.0,Labour Co-operative,Anna Turley,Stay in EU
2016-06-01,1,1,0,0,['great speech anneliesedodds making point best way tackle tax avoidance'],0.9,Labour,Anneliese Dodds,Stay in EU
2016-06-01,1,1,0,0,['strong performance pm tonight showing'],0.4333333333333333,Conservative,Antoinette Sandbach,Stay in EU
2016-06-01,2,1,0,1,"['itvnews speaker campaign post programme analysis', 'powerful sadiqkhan choose work eu environment air quality fight terrorism']",0.3,Labour,Barbara Keeley,Stay in EU
2016-06-01,1,1,0,0,['great information huddersfield biggest employer huddersfielduni gains eu membership https'],0.8,Labour Co-operative,Barry Sheerman,Stay in EU
2016-06-01,7,4,0,3,"['hi benpbradshaw similar assurances vote exeter https', 'superb effort benpbradshaw exeterlabour members supporters delivers us result turnout', 'anyone near exeter wants help keep britain europe turn time tomorrow till clifton hill', 'great replay answers benpbradshaw', 'paper understands economy comes superb editorial ft', 'thank postcard sarahwollaston one favourite spots coming x', 'opening speeches last night debate highbridge https']",0.4428571428571429,Labour,Ben Bradshaw,Stay in EU
2016-06-01,1,0,0,1,['cumbria north yorkshire seen lancashire today'],0.0,Conservative,Ben Wallace,Stay in EU
2016-06-01,5,1,0,4,"['reply yet conservatives mp bernardjenkin explain flyering yesterday https', 'son former government minister bernardjenkin talking tosh story rupertmurdoch strongerin', 'still lot learn given bile heap conservative pm', 'unlike bernardjenkin spends life dow pit bread dripping food banks nonsense talk', 'excellent performance prime minister doubt impressed leader farage']",0.6666666666666666,Conservative,Bernard Jenkin,Stay in EU
2016-06-01,1,1,0,0,['hi steve key word great facts figures case studies eusmallbiz'],0.4,Labour,Bill Esterson,Stay in EU
